NaN,A,A1,A2,A3,B1,B1,B2,A1,A2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,A2,B2,A1,A2,B3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,A2,B1,B2,A3,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A,A1,B1,A2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A2,A,A1,A2,B1,B1,B2,A3,B3,A1,A2,B1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A1,A2,A3,B1,B2,B3,A3,A1,A2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,B1,B2,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,B1,B2,B3,A3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,B2,B2,A1,A4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A1,A2,A3,B1,A1,B1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,A3,A2,B1,B2,A2,A2,B2,A4,A4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A2,A1,A2,B1,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A2,A2,NaN,A1,A,A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A4,B3,B1,A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A1,B1,B2,A2,A2,B2,A4,A3,NaN,A2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,A1,A2,B1,A2,B2,B1,A3,B3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
